,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments
275,Electricity andMagnetism: Maxwell’sEquations…,https://www.edx.org/course/electricity-and-magnetism-maxwells-equations,https://prod-discovery.edx-cdn.org/media/course/image/62591cf0-c3b2-4637-a5ee-f2dda85f4826-0826af963023.jpg,['Intermediate'],['11–13 hours per week'],['10 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
276,Electricity andMagnetism:Electrostatics…,https://www.edx.org/course/electricity-and-magnetism-electrostatics,https://prod-discovery.edx-cdn.org/media/course/image/fc89368c-dfef-4e23-9411-953578e7193e-69ebfd1adbac.jpg,['Intermediate'],['11–13 hours per week'],['10 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
277,Relativity andAstrophysics…,https://www.edx.org/course/relativity-and-astrophysics,https://prod-discovery.edx-cdn.org/media/course/image/125f3b4f-3d99-4c26-8033-5227075ef99b-3a05003f5163.jpg,['Intermediate'],['4–8 hours per week'],['4 Weeks'],['English'],"['English', 'English']",[],['Cornell University'],['https://www.edx.org/school/cornellx'],not-mentioned
278,"Quantum InformationScience I, Part 1…",https://www.edx.org/course/quantum-information-science-i-part-1,https://prod-discovery.edx-cdn.org/media/course/image/618bd139-4f87-4176-887e-94c909e242c3-dafe6db0be1c.jpg,['Intermediate'],['11–13 hours per week'],['5 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
279,Thermodynamics…,https://www.edx.org/course/thermodynamics,https://prod-discovery.edx-cdn.org/media/course/image/333f4bc7-9a7d-430d-8999-d1dbe80e99ea-31cbec26fcba.jpg,['Intermediate'],['8–10 hours per week'],['12 Weeks'],['English'],['English'],['$50 USD'],['IITBombay'],['https://www.edx.org/school/iitbombayx'],not-mentioned
280,Materials Science andEngineering…,https://www.edx.org/course/materials-science-and-engineering,https://prod-discovery.edx-cdn.org/media/course/image/b5979db8-4b8a-499d-85e1-65a903b48d48-c06d33c44448.jpg,['Intermediate'],['3–5 hours per week'],['7 Weeks'],['English'],['English'],['$49 USD'],['NUST MISIS'],['https://www.edx.org/school/misisx'],not-mentioned
281,On-Ramp to AP* PhysicsC: Mechanics…,https://www.edx.org/course/on-ramp-to-ap-physics-c-mechanics,https://prod-discovery.edx-cdn.org/media/course/image/ea7e0132-073a-4b53-8135-3ec3edcef311-3819ad417802.jpg,['Introductory'],['1–2 hours per week'],['2 Weeks'],['English'],['English'],['$25 USD'],['Weston High School'],['https://www.edx.org/school/weston-high-school'],not-mentioned
282,Space Mission Designand Operations…,https://www.edx.org/course/space-mission-design-and-operations,https://prod-discovery.edx-cdn.org/media/course/image/411504b9-ef0f-4656-b6b9-119afffd3ded-b8160052472f.jpg,['Intermediate'],['2–4 hours per week'],['8 Weeks'],['English'],['English'],['$50 USD'],['École polytechnique fédérale de Lausanne'],['https://www.edx.org/school/epflx'],not-mentioned
283,Vibrations and Waves…,https://www.edx.org/course/vibrations-and-waves,https://prod-discovery.edx-cdn.org/media/course/image/620f66f0-bdb0-4300-a98c-c19d4291c844-002118a18f49.jpeg,['Intermediate'],['12–15 hours per week'],['18 Weeks'],['English'],['English'],['$99 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
284,"Question Reality! Science,philosophy, and thesearch for meaning…",https://www.edx.org/course/question-reality-science-philosophy-and-the-search,https://prod-discovery.edx-cdn.org/media/course/image/26f01854-304c-4bfd-affd-38712c53bb5d-cb30f643591f.jpg,['Introductory'],['2–4 hours per week'],['6 Weeks'],['English'],"['English, Português']",['$49 USD'],['Dartmouth College'],['https://www.edx.org/school/dartmouthx'],not-mentioned
